Customer_ID,Current Loan Amount,Current Credit Balance,Monthly Debt,Years of Credit History,Years in current job,Number of Open Accounts,Months since last delinquent,Maximum Open Credit
1,41617.00,12500.00,3468.08,1,35,3,0,158000.00
2,64162.00,16000.00,5346.83,1,31,4,0,158000.00
3,31692.00,0.00,2641.00,1,25,6,0,158000.00
4,86639.00,17000.00,7219.92,1,14,3,0,158000.00
5,36000.00,0.00,3000.00,1,25,6,0,158000.00
6,72400.00,0.00,6033.33,1,27,5,0,158000.00
7,105218.00,26000.00,8768.17,1,28,2,0,158000.00
8,147304.00,0.00,12275.33,1,18,5,0,158000.00
9,51320.00,0.00,4276.67,1,26,5,0,158000.00
10,88948.00,19000.00,7412.33,1,16,4,0,158000.00
11,24411.00,0.00,2034.25,1,3,5,0,158000.00
12,60000.00,0.00,5000.00,1,22,6,0,158000.00
13,2400.00,0.00,200.00,1,5,6,0,158000.00
14,2400.00,0.00,200.00,1,4,6,0,158000.00
15,119085.00,0.00,9923.75,1,29,5,4,158000.00
16,2400.00,0.00,200.00,1,6,6,0,158000.00
17,168000.00,0.00,14000.00,1,38,6,0,158000.00
18,45260.00,0.00,3771.67,1,21,5,0,158000.00
19,51283.44,0.00,4273.62,1,12,5,0,158000.00
20,46160.00,0.00,3846.67,1,13,5,0,158000.00
21,2400.00,0.00,200.00,1,5,6,0,158000.00
22,24000.00,0.00,2000.00,1,31,6,0,158000.00
23,24925.00,18000.00,2077.08,1,20,5,0,158000.00
24,269721.00,84750.00,22476.75,1,17,4,0,158000.00
25,93500.00,41560.00,7791.67,1,11,5,0,158000.00
26,67558.00,15000.00,5629.83,1,16,2,1,158000.00
27,44992.00,0.00,3749.33,1,19,4,0,158000.00
28,28606.00,0.00,2383.83,1,8,5,0,158000.00
29,33073.25,0.00,2756.10,1,28,4,5,158000.00
30,72145.75,1000.00,6012.15,1,24,3,0,158000.00
31,65572.00,0.00,5464.33,1,11,5,0,158000.00
32,15662.00,0.00,1305.17,1,25,5,3,158000.00
33,40610.00,0.00,3384.17,1,15,5,0,158000.00
34,12000.00,0.00,1000.00,1,15,6,0,158000.00
35,106226.00,14000.00,8852.17,1,16,4,0,158000.00
36,169512.00,105000.00,14126.00,1,9,5,0,158000.00
37,22122.00,0.00,1843.50,1,7,5,0,158000.00
38,30726.00,0.00,2560.50,1,12,5,0,158000.00
39,42861.00,0.00,3571.75,1,15,5,0,158000.00
40,84136.00,0.00,7011.33,1,14,5,0,158000.00
41,38602.00,0.00,3216.83,1,7,5,0,158000.00
42,25128.00,0.00,2094.00,1,12,5,0,158000.00
43,52444.00,0.00,4370.33,1,24,5,0,158000.00
44,61840.00,0.00,5153.33,1,14,5,0,158000.00
45,106208.00,23496.00,8850.67,1,9,4,0,158000.00
