Customer_ID,Current Loan Amount,Current Credit Balance,Monthly Debt,Years of Credit History,Years in current job,Number of Open Accounts,Months since last delinquent,Maximum Open Credit,Score
1,41617.0,12500.0,3468.08,1,35,3,0,158000.0,699.0
2,64162.0,16000.0,5346.83,1,31,4,0,158000.0,670.0
3,31692.0,0.0,2641.0,1,25,6,0,158000.0,738.0
4,86639.0,17000.0,7219.92,1,14,3,0,158000.0,605.0
5,36000.0,0.0,3000.0,1,25,6,0,158000.0,731.0
6,72400.0,0.0,6033.33,1,27,5,0,158000.0,663.0
7,105218.0,26000.0,8768.17,1,28,2,0,158000.0,578.0
8,147304.0,0.0,12275.33,1,18,5,0,158000.0,533.0
9,51320.0,0.0,4276.67,1,26,5,0,158000.0,696.0
10,88948.0,19000.0,7412.33,1,16,4,0,158000.0,615.0
11,24411.0,0.0,2034.25,1,3,5,0,158000.0,717.0
12,60000.0,0.0,5000.0,1,22,6,0,158000.0,689.0
13,2400.0,0.0,200.0,1,5,6,0,158000.0,765.0
14,2400.0,0.0,200.0,1,4,6,0,158000.0,764.0
15,119085.0,0.0,9923.75,1,29,5,4,158000.0,479.0
16,2400.0,0.0,200.0,1,6,6,0,158000.0,766.0
17,168000.0,0.0,14000.0,1,38,6,0,158000.0,531.0
18,45260.0,0.0,3771.67,1,21,5,0,158000.0,701.0
19,51283.44,0.0,4273.62,1,12,5,0,158000.0,682.0
20,46160.0,0.0,3846.67,1,13,5,0,158000.0,692.0
21,2400.0,0.0,200.0,1,5,6,0,158000.0,765.0
22,24000.0,0.0,2000.0,1,31,6,0,158000.0,756.0
23,24925.0,18000.0,2077.08,1,20,5,0,158000.0,733.0
24,269721.0,84750.0,22476.75,1,17,4,0,158000.0,324.0
25,93500.0,41560.0,7791.67,1,11,5,0,158000.0,613.0
26,67558.0,15000.0,5629.83,1,16,2,1,158000.0,504.0
27,44992.0,0.0,3749.33,1,19,4,0,158000.0,689.0
28,28606.0,0.0,2383.83,1,8,5,0,158000.0,715.0
29,33073.25,0.0,2756.1,1,28,4,5,158000.0,610.0
30,72145.75,1000.0,6012.15,1,24,3,0,158000.0,639.0
31,65572.0,0.0,5464.33,1,11,5,0,158000.0,658.0
32,15662.0,0.0,1305.17,1,25,5,3,158000.0,638.0
33,40610.0,0.0,3384.17,1,15,5,0,158000.0,703.0
34,12000.0,0.0,1000.0,1,15,6,0,158000.0,760.0
35,106226.0,14000.0,8852.17,1,16,4,0,158000.0,587.0
36,169512.0,105000.0,14126.0,1,9,5,0,158000.0,489.0
37,22122.0,0.0,1843.5,1,7,5,0,158000.0,724.0
38,30726.0,0.0,2560.5,1,12,5,0,158000.0,716.0
39,42861.0,0.0,3571.75,1,15,5,0,158000.0,699.0
40,84136.0,0.0,7011.33,1,14,5,0,158000.0,631.0
41,38602.0,0.0,3216.83,1,7,5,0,158000.0,698.0
42,25128.0,0.0,2094.0,1,12,5,0,158000.0,725.0
43,52444.0,0.0,4370.33,1,24,5,0,158000.0,693.0
44,61840.0,0.0,5153.33,1,14,5,0,158000.0,667.0
45,106208.0,23496.0,8850.67,1,9,4,0,158000.0,580.0
