Customer_ID,Current Loan Amount,Monthly Debt,Years of Credit History,Years in current job,Number of Open Accounts,Months since last delinquent,Maximum Open Credit
1,20000,3670,1,30,1,48,90000
2,30000,1400,2,29,3,0,75000
3,25000,2291,1,9,1,0,50000
4,20000,3670,1,11,5,2,65000
5,32000,6500,1,16,1,0,50000
6,30000,2489,1,35,1,0,80000
7,20000,4020,1,3,1,0,50000
8,15000,1000,1,9,1,1,50000
9,32000,6500,1,2,1,0,80000
10,10000,1700,1,5,1,0,35000
11,20000,1500,1,3,1,0,45000
12,20000,1000,1,3,1,0,50000
13,25000,2500,1,2,1,0,50000
14,15000,1500,1,2,1,0,25000
15,17500,1500,1,1,1,1,50000
16,15000,1350,1,5,1,0,50000
17,8000,1450,1,4,1,0,20000
18,15000,1400,1,2,1,0,50000
19,20000,1800,1,2,1,0,50000
20,17000,1600,1,2,1,0,100000
21,18000,1600,1,8,2,0,50000
22,8000,1450,1,2,1,0,30000
23,15000,1500,1,3,1,0,100000
24,10000,1700,1,3,2,0,35000
25,17000,1500,1,2,1,3,50000
26,5000,900,1,6,1,0,30000
27,20000,1800,1,3,2,1,100000
28,15000,1400,1,2,1,0,50000
29,18000,1750,1,2,1,0,50000
30,13000,2380,1,2,1,0,50000
31,10000,1800,1,2,1,3,50000
32,15000,2000,1,2,2,0,50000
33,8000,1450,1,2,1,2,50000
34,30000,2489,1,9,1,1,50000
35,30000,2489,1,9,1,1,50000
36,20000,1833,1,10,1,0,70000
37,80000,7333,1,18,2,0,100000
38,75000,6875,1,20,1,1,90000
39,90000,8250,2,17,1,0,100000
40,65000,5958,1,12,1,0,80000
41,80000,7333,2,15,1,0,100000
42,55000,5041,1,10,1,0,80000
43,100000,3080,3,20,2,12,150000
44,20000,1800,1,3,1,1,50000
45,18000,1750,1,2,1,2,50000
46,15000,1400,1,4,1,0,50000
47,30000,2800,1,2,1,0,100000
48,10000,1832,1,7,1,0,50000
49,30000,2750,1,3,3,0,100000
50,25000,2250,2,3,3,2,100000
51,50000,2300,2,4,2,2,150000
52,20000,1850,1,2,1,0,100000
53,30000,1375,2,8,1,0,50000
54,20000,1833,1,6,1,0,50000
55,15000,2800,1,2,1,0,50000
56,30000,2750,1,3,2,1,100000
57,40000,1250,3,5,1,0,65000
58,20000,1800,1,5,1,0,45000
59,35000,1070,3,6,1,0,50000
60,15000,2000,1,2,2,1,30000
